5359.77289 17.504 0.014
5359.81301 17.545 0.014
5359.85869 17.546 0.017
5359.89795 17.537 0.019
5361.67055 17.342 0.014
5362.58518 17.582 0.020
5362.66595 17.562 0.013
5362.76045 17.592 0.013
5362.88043 17.616 0.021
5364.52304 17.419 0.014
5364.56802 17.455 0.012
5364.63942 17.442 0.010
5364.73525 17.459 0.015
5364.79226 17.476 0.017
5364.83164 17.486 0.014
5364.87163 17.520 0.015
5365.54087 17.641 0.020
5365.58529 17.640 0.015
5365.65977 17.641 0.016
5365.75562 17.569 0.014
5365.83031 17.442 0.014
5365.86896 17.330 0.016
5368.61480 17.116 0.011
5368.79293 17.136 0.010
5369.74034 17.442 0.018
5369.78516 17.469 0.020
5369.82442 17.451 0.016
5376.63062 17.202 0.014
5376.67023 17.214 0.015
5376.71048 17.206 0.013
5376.74874 17.220 0.014
5376.78701 17.222 0.013
5376.82520 17.224 0.015
5376.86316 17.264 0.019
5377.51919 17.449 0.015
5377.56121 17.402 0.014
5377.60253 17.445 0.016
5377.64892 17.451 0.012
5377.66934 17.430 0.013
5377.71456 17.475 0.012
5377.75764 17.487 0.013
5377.80034 17.458 0.015
5377.83855 17.465 0.016
5378.49282 17.645 0.015
5378.56315 17.670 0.014
5378.64782 17.617 0.013
5378.72418 17.569 0.012
5378.76246 17.535 0.011
5378.80100 17.468 0.013
5378.84087 17.407 0.015
5378.87858 17.266 0.017
5379.51759 17.275 0.012
5379.59958 17.286 0.011
5379.68612 17.305 0.011
5379.75536 17.344 0.012
5379.79298 17.351 0.013
5379.83076 17.377 0.017
5379.87183 17.343 0.020
5380.52908 17.520 0.012
5380.58206 17.505 0.011
5380.66844 17.547 0.011
5380.72484 17.543 0.012
5380.76309 17.551 0.014
5380.80096 17.573 0.019
5380.83886 17.524 0.021
5381.53860 17.204 0.012
5381.57614 17.133 0.014
5381.61629 17.121 0.014
5381.67572 17.117 0.011
5381.71401 17.120 0.013
5381.75216 17.160 0.016
5381.79907 17.197 0.013
5381.83720 17.182 0.016
5382.52737 17.425 0.016
5382.56493 17.403 0.019
5382.61437 17.424 0.015
5382.65295 17.412 0.014
5382.69407 17.413 0.013
5382.73389 17.410 0.014
5382.77170 17.440 0.020
5382.82244 17.409 0.018
5383.77803 17.612 0.020
5384.80155 17.272 0.020
5385.47211 17.428 0.013
5385.51133 17.465 0.012
5385.52508 17.465 0.012
5385.62458 17.485 0.011
5385.72691 17.488 0.011
5385.81184 17.519 0.012
5385.84940 17.520 0.014
5386.60899 17.428 0.011
5386.74484 17.176 0.009
5386.78315 17.128 0.009
5386.82614 17.125 0.010
5387.50533 17.321 0.010
5387.61434 17.355 0.009
5387.64965 17.363 0.009
5387.68860 17.366 0.010
5387.72720 17.367 0.009
5387.76799 17.390 0.011
